task,domain,split,sample_id,text,aspect,label_name,label_id
absa,laptop,train,1964,This computer was so challenging to carry and handle.,carry,negative,1
absa,laptop,train,462,Unable to boot up this brand new laptop.,boot up,negative,1
absa,laptop,train,908,"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.",screen,negative,1
absa,laptop,train,1895,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,positive,0
absa,laptop,train,963,"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",keys,neutral,2
absa,laptop,train,1599,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",heat sink,negative,1
absa,laptop,train,2057,"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.",motherboard,negative,1
absa,laptop,train,879,and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.,power supply,negative,1
absa,laptop,train,544,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signals,positive,0
absa,laptop,train,2868,True quality at a great price!,price,positive,0
absa,laptop,train,1565,The resolution is even higher then any other laptop on the market.,resolution,positive,0
absa,laptop,train,915,"A month or so ago, the freaking motherboard just died.",motherboard,negative,1
absa,laptop,train,871,I use a cooling pad but it doesn't help.,cooling pad,negative,1
absa,laptop,train,3083,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,neutral,2
absa,laptop,train,2679,"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,negative,1
absa,laptop,train,2620,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",speakers,negative,1
absa,laptop,train,3048,"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer.",fan noise,negative,1
absa,laptop,train,2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,0
absa,laptop,train,2710,Came fully loaded - good.,loaded,positive,0
absa,laptop,train,2713,"The screen graphics and clarity, and sharpness are great.",sharpness,positive,0
absa,laptop,train,1811,"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",use,positive,0
absa,laptop,train,614,"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).",battery life,negative,1
absa,laptop,train,2306,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,video games,neutral,2
absa,laptop,train,3045,Fan noise: The fan made a constant hissing noise in the background.,Fan,negative,1
absa,laptop,train,456,The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,desktop icons,negative,1
absa,laptop,train,1770,"It has far exceeded my expectations for power, storage, and abilitiy.",storage,positive,0
absa,laptop,train,2988,It's a great product for a great price!,price,positive,0
absa,laptop,train,2238,and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,negative,1
absa,laptop,train,1008,Ive had to call tech support many times.,tech support,neutral,2
absa,laptop,train,388,The processor is very quick and effective as I load webpages and applications.,applications,neutral,2
absa,laptop,train,578,"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",Final Cut Pro,positive,0
absa,laptop,train,1909,  They replaced my hard drive as well as my mother board.,mother board,neutral,2
absa,laptop,train,2781,The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,speakers,negative,1
absa,laptop,train,1036,You have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,negative,1
absa,laptop,train,1174,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",Applecare,neutral,2
absa,laptop,train,2561,"I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most pc laptops.",MS Office,negative,1
absa,laptop,train,1418,  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,extended warrenty,negative,1
absa,laptop,train,43,"It is absolutely horrible to use, despite all its so called advanced features.",use,negative,1
absa,laptop,train,2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,positive,0
absa,laptop,train,661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,1
absa,laptop,train,2431,"This is an over-sized, 18-inch laptop.",18-inch,negative,1
absa,laptop,train,2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive,0
absa,laptop,train,2137,"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,positive,0
absa,laptop,train,566,pros:  the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.,battery life,positive,0
absa,laptop,train,2067,I now realize that my $900 would have been better spent on a Windows laptop.,Windows,positive,0
absa,laptop,train,918, THE MOTHERBOARD IS DEAD !,MOTHERBOARD,negative,1
absa,laptop,train,1327,But the arm velcro is torn after one use.,arm velcro,negative,1
absa,laptop,train,719,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",keyboard,positive,0
absa,laptop,train,2030,None of the techs at HP knew what they were doing.,techs at HP,negative,1
absa,laptop,train,2497,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,Boot Camp,neutral,2
absa,laptop,train,2213,"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",iphoto,positive,0
absa,laptop,train,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,1
absa,laptop,train,608,can't reinstall with standard os cd because of proprietary hardware drivers.,standard os cd,negative,1
absa,laptop,train,313,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",presentations,neutral,2
absa,laptop,train,1302,I guess he was the technical person.,technical person,neutral,2
absa,laptop,train,1595,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",watching movies,positive,0
absa,laptop,train,2749,Love that it doesn't take up space like a regular computer.,space,positive,0
absa,laptop,train,2071,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",customer support,positive,0
absa,laptop,train,312,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iWeb,positive,0
absa,laptop,train,2096,"The price premium is a little much, but when you start looking at the features it is worth the added cash.",price premium,negative,1
absa,laptop,train,354,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",system,negative,1
absa,laptop,train,1746,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",mouse,neutral,2
absa,laptop,train,2978,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,plastic piece,negative,1
absa,laptop,train,2212,"The applications are also very easy to find and maneuver, much easier than any other computer I have ever owned.",applications,positive,0
absa,laptop,train,2899,I will stack it up against laptops that cost twice as much any day.,cost,conflict,3
absa,laptop,train,3049,"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,negative,1
absa,laptop,train,1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,1
absa,laptop,train,552,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Features,neutral,2
absa,laptop,train,1844,"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,neutral,2
absa,laptop,train,336,"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,neutral,2
absa,laptop,train,1694,"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.",runs,positive,0
absa,laptop,train,2573,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",runs,positive,0
absa,laptop,train,156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,2
absa,laptop,train,1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,0
absa,laptop,train,1322,"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".",LG service center,negative,1
absa,laptop,train,2518,I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.,speakers,positive,0
absa,laptop,train,2491,"First things first, Macbook pro has many applications to make life easier, unlike the windows computers.",applications,positive,0
absa,laptop,train,1126,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,negative,1
absa,laptop,train,2236,"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",look,positive,0
absa,laptop,train,2517,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance,positive,0
absa,laptop,train,2478,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,positive,0
absa,laptop,train,400,"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.",quality,positive,0
absa,laptop,train,1192,"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,negative,1
absa,laptop,train,2894,The difference is the Toshiba had a lot more memory and hard drive space.,memory,positive,0
absa,laptop,train,926,But guess what?  (you have to buy an external dvd drive it doesn't have a built in type) The notebook can't be used because it doesn't read anything for an external drive.,external drive,negative,1
absa,laptop,train,1986,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,negative,1
absa,laptop,train,2975,The only bad thing about it is they give you the worst batteries possible.,batteries,negative,1
absa,laptop,train,1455,  also the battery is completely shot.,battery,negative,1
absa,laptop,train,2080,"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,negative,1
absa,laptop,train,2792,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",resolution of the screen,negative,1
absa,laptop,train,1130,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,hard drive,neutral,2
absa,laptop,train,1504,It has just enough RAM to run smoothly and enough memory to satisfy my needs.,RAM,positive,0
absa,laptop,train,2248,"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",Keynotes,positive,0
